product_code,product_name,category1,category2,description,image1,image2,image3,image4,image5,imageUrl6,imageUrl7,imageUrl8,imageUrl9,imageUrl10,video,availability,materials_and_dimensions,pageUrl,scrape_date,supplier
BLOOM  Wall Fire,BLOOM  Wall Fire,category,Fireplaces,"
				<p></p><div><div><div><p></p><div><div><div><div><p>

This flower-shaped wall fireplace while being a delicate design has in its core all the strength and will to push forward and evolve, turning itself in something bigger and beautiful. The Bloom Wall Fire with its steel body represents a full-bloomed body of a flower and the epitome of beauty. The perfect choice for lighting up any room with fire and passion.


</p>
					</div>
				</div>
			</div>
		</div>
	

<p></p>
				</div>
			</div>
		</div>
	
<br><p></p>			",https://www.brabbu.com/resources/images/products/644/gallery/bloom-fall-fire-1-540x505.jpg,,,,,,,,,,https://www.youtube.com/embed/E6pzbsPdQOs?rel=0,Made by Order,"
                        DIMENSIONS<br>WIDTH 122,5 cm | 48,22""<div>DEPTH 45 cm | 17,71""</div><div>HEIGHT&nbsp;&nbsp;123 cm | 548,42""<br><div>MATERIALS<br>Brushed stainless steel.</div></div>                        ",https://www.brabbu.com/product/fireplaces/bloom-/wall-fire-/,02/05/2023,brabbu
ERUPTION Wall Fire,ERUPTION Wall Fire,category,Fireplaces,"
				<p></p><div><div><div><p></p><div><div><div><div><p></p></div></div></div></div></div></div></div><div>
			<div>
				<div>
					<p></p><div><div><div><div><p></p></div></div></div></div>

This volcano-shaped wall firepit represents the natural phenomenon of an eruption trough its rough-looking steel structure and its chimney like firebox. The electrical fire together with the heating system makes Eruption Wall Fire a perfect fit for any environment willing to stand out among the others.

<br><p></p>
				</div>
			</div>
		</div>
	

	
<br><p></p>			",https://www.brabbu.com/resources/images/products/650/gallery/eruption-fall-fire-1-540x505.jpg,,,,,,,,,,https://www.youtube.com/embed/E6pzbsPdQOs?rel=0,Made by Order,"
                        DIMENSIONS<br>DIAMETER 165 cm | 64,96""<div>DEPTH 18 cm | 7,08""<div>HEIGHT&nbsp; 90 cm | 35,43""<br><div>MATERIALS<br>Brushed stainless steel.&nbsp;</div></div></div>                        ",https://www.brabbu.com/product/fireplaces/eruption/wall-fire-/,02/05/2023,brabbu
GRASBERG Fire Pit,GRASBERG Fire Pit,category,Fireplaces,"
				<p></p><div><div><div><p></p><div><div><div><div><p></p></div></div></div></div></div></div></div><div>
			<div>
				<div>
					<p></p></div></div></div>

The drilled shape of this item calls on the great mine of Grasberg, which is the Holy Grail of the mining world. Its man-made hole takes us to the skills of our masterful craftsman that using the finest materials made this everlasting piece of design. Grasberg firepit is a tremendous achievement, meeting the perfect balance between a magnificent item and a fireplace to light up your life.

<br><p></p>			",https://www.brabbu.com/resources/images/products/647/gallery/grasberg-firepit-1-540x505.jpg,,,,,,,,,,https://www.youtube.com/embed/E6pzbsPdQOs?rel=0,Made by Order,"
                        DIMENSIONS<br>DIAMETER 120 cm | 47,24""<div>HEIGHT&nbsp; 42 cm | 16,53""<br><div>MATERIALS<br>Rusty corten steel.</div></div>                        ",https://www.brabbu.com/product/fireplaces/grasberg/fire-pit/,02/05/2023,brabbu
OLYMPUS Fire Pit,OLYMPUS Fire Pit,category,Fireplaces,"
				<p></p><div><div><div><p></p><div><div><div><div><p></p></div></div></div></div></div></div></div>

The Bold approach in both materials and design to this product is related to the big Mount Olympus, home of the Greek Gods and Goddesses who dwelt in fabulous palaces of marble and gold. Its strengthened structure makes the Olympus Firepit a sight to see, taking us back to the great fire of the Athenas torch, also known as the Olympic Flame.


	
<br><p></p>			",https://www.brabbu.com/resources/images/products/645/gallery/olympus-firepit-1-540x505.jpg,,,,,,,,,,https://www.youtube.com/embed/E6pzbsPdQOs?rel=0,Made by Order,"
                        DIMENSIONS<br>DIAMETER 148 cm | 58,26""<div>HEIGHT&nbsp; 45,5 cm | 17,91""<br><div>MATERIALS<br>Brushed stainless steel and rusty corten steel details.&nbsp;</div></div>                        ",https://www.brabbu.com/product/fireplaces/olympus/fire-pit/,02/05/2023,brabbu
MUSA Fireplace,MUSA Fireplace,category,Fireplaces,"
				<p></p><div><div><div><p></p><div><div><div><div><p></p></div></div></div></div></div></div></div><div>
			<div>
				<div>
					<p></p><div><div><div><div><p></p><div><div><div><div><p></p></div></div></div></div>

Musa was an emperor from the Mali Empire and is also historically known as the richest individual to have set foot on earth. Musa Fireplace takes after all the wealth and boldness of his empire. The way this fireplace conquers the space with its brass structure together with the strength present in its flames relates to the strength of Musa’s Empire, as well as its title “Biggest Gold producer of the World”.

<br><p></p>
					</div>
				</div>
			</div>
		</div>
	
<br><p></p>
				</div>
			</div>
		</div>
	

	
<br><p></p>			",https://www.brabbu.com/resources/images/products/651/gallery/musa-fireplace-1-540x505.jpg,,,,,,,,,,https://www.youtube.com/embed/E6pzbsPdQOs?rel=0,Made by Order,"
                        DIMENSIONS<br>WIDTH 250 cm | 98,42""<div>DEPTH 50 cm | 19,68""<div>HEIGHT&nbsp; 100 cm | 39,37""<br><div>MATERIALS</div><div>Matte brass with green marble top<br>
	
&nbsp;</div></div></div>                        ",https://www.brabbu.com/product/fireplaces/musa/fireplace/,02/05/2023,brabbu
